Image,Centerline_Angle (degrees),Distance_From_Center (pixels),Turn_Detected,Turn_Type,Curvature,Green_Box_Detected,Green_Under_Red,Green_Distance_X (pixels),Green_Distance_Y (pixels),Bullseye_Detected,Bullseye_Center_X,Bullseye_Center_Y,Bullseye_Distance_X (pixels),Bullseye_Distance_Y (pixels),Timestamp
photo_1.jpg,-1.20,-60.00,False,straight,0.193906,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:19.930581
photo_10.jpg,8.06,179.00,False,straight,0.657895,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:19.981900
photo_11.jpg,11.07,304.00,True,left_turn,193.790863,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:20.042585
photo_12.jpg,26.44,-87.00,True,left_turn,190.746094,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:20.106177
photo_13.jpg,-3.51,24.00,False,straight,11.365649,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:20.164501
photo_14.jpg,17.88,-213.00,False,straight,71.214844,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:20.228939
photo_15.jpg,-15.30,120.00,False,straight,31.421053,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:20.301981
photo_16.jpg,-1.74,-59.00,False,straight,89.110809,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:20.369511
photo_17.jpg,-13.90,-105.00,False,straight,0.865651,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:20.438086
photo_18.jpg,10.32,-182.00,False,straight,97.904427,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:20.521837
photo_19.jpg,34.51,-58.00,True,left_turn,234.500000,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:20.584811
photo_2.jpg,-7.91,78.00,False,straight,0.113573,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:20.648276
photo_20.jpg,-7.45,-8.00,False,straight,24.196676,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:20.706779
photo_21.jpg,-3.60,-64.00,False,straight,0.270083,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:20.779359
photo_22.jpg,-1.15,-238.00,False,straight,0.296399,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:20.846463
photo_23.jpg,-8.97,256.00,False,straight,0.270083,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:20.928035
photo_24.jpg,-7.21,114.00,False,straight,0.376731,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:21.009180
photo_25.jpg,-32.46,-53.00,True,right_turn,1082.408081,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:21.095371
photo_26.jpg,-17.85,39.00,True,right_turn,499.194336,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:21.183578
photo_27.jpg,0.56,-42.00,False,straight,25.601109,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:21.279123
photo_28.jpg,-73.77,86.00,True,right_turn,373.339508,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:21.383769
photo_29.jpg,-3.85,-43.00,False,straight,0.128809,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:21.492661
photo_3.jpg,2.18,239.00,False,straight,1.157895,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:21.586137
photo_30.jpg,-4.00,-42.00,False,straight,0.132964,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:21.666801
photo_31.jpg,-5.26,-77.00,False,straight,0.181440,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:21.747852
photo_32.jpg,-2.59,-13.00,False,straight,0.153740,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:21.842699
photo_33.jpg,-3.88,-347.00,False,straight,0.418283,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:21.925472
photo_34.jpg,-2.84,-350.00,False,straight,0.376731,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:22.010982
photo_35.jpg,-2.08,-292.00,False,straight,0.427978,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:22.126427
photo_36.jpg,-9.22,-374.00,False,straight,0.526316,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:22.208208
photo_37.jpg,-6.72,-132.00,False,straight,0.505540,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:22.390312
photo_38.jpg,-1.76,7.00,False,straight,0.847645,True,True,3.97,76.88,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:22.636939
photo_39.jpg,-3.97,-83.00,False,straight,0.680055,True,True,-97.27,32.99,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:22.809986
photo_4.jpg,11.74,-158.00,False,straight,13.059558,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:22.898996
photo_40.jpg,-10.56,181.00,False,straight,1.527701,True,True,174.98,72.47,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:23.061034
photo_41.jpg,-10.19,-91.00,False,straight,0.584488,True,True,-99.00,-72.50,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:23.276702
photo_42.jpg,-31.23,43.00,True,right_turn,842.048950,True,False,-209.37,133.78,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:23.417979
photo_43.jpg,-71.53,104.00,True,right_turn,350.659973,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:23.504677
photo_44.jpg,-50.64,531.00,True,right_turn,196.000000,True,False,-144.20,-44.70,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:23.686668
photo_45.jpg,-44.12,396.00,False,straight,10.812500,True,False,21.80,78.31,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:23.834537
photo_46.jpg,-66.39,245.00,True,right_turn,454.142853,True,False,-195.36,52.21,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:23.988280
photo_47.jpg,1.17,-45.00,False,straight,35.969135,False,False,N/A,N/A,True,382.33,141.00,-44.67,99.00,2026-03-22T23:36:24.072943
photo_48.jpg,-3.49,60.00,False,straight,42.125000,False,False,N/A,N/A,True,480.00,104.00,53.00,136.00,2026-03-22T23:36:24.157424
photo_49.jpg,1.50,-37.00,False,straight,0.080247,False,False,N/A,N/A,True,391.00,236.00,-36.00,4.00,2026-03-22T23:36:24.249398
photo_5.jpg,1.00,-304.00,False,straight,24.091413,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:24.336528
photo_50.jpg,-42.58,33.00,True,right_turn,389.133118,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:24.416110
photo_51.jpg,-56.87,-145.00,True,right_turn,3290.810547,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:24.502198
photo_52.jpg,-7.57,10.00,False,straight,6.743802,False,False,N/A,N/A,True,435.00,105.50,8.00,134.50,2026-03-22T23:36:24.594116
photo_53.jpg,61.16,-185.00,True,left_turn,222.191360,True,False,330.60,195.35,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:24.700118
photo_54.jpg,N/A,N/A,N/A,N/A,N/A,True,False,318.71,113.28,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:24.816704
photo_55.jpg,44.70,-75.00,True,left_turn,466.423065,True,False,341.44,220.98,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:24.925014
photo_6.jpg,-6.46,-40.00,False,straight,22.790857,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:25.001981
photo_7.jpg,0.88,-50.00,False,straight,29.132963,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:25.098440
photo_8.jpg,16.73,-211.00,False,straight,1.220222,False,False,N/A,N/A,False,N/A,N/A,N/A,N/A,2026-03-22T23:36:25.178164
